[DEBUG][2024-10-25 16:56:49] write success
[INFO][2024-10-25 17:13:32] create positive_index success
[DEBUG][2024-10-25 17:13:34] JiebaUtil success
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 0
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 1
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 2
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 3
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 4
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 5
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 6
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 7
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 8
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 9
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 10
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 11
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 12
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 13
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 14
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 15
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 16
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 17
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 18
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 19
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 20
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 21
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 22
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 23
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 24
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 25
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 26
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 27
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 28
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 29
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 30
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 31
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 32
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 33
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 34
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 35
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 36
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 37
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 38
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 39
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 40
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 41
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 42
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 43
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 44
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 45
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 46
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 47
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 48
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 49
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 50
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 51
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 52
[DEBUG][2024-10-25 17:13:34] 已建立的索引文档 53
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 54
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 55
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 56
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 57
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 58
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 59
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 60
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 61
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 62
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 63
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 64
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 65
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 66
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 67
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 68
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 69
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 70
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 71
[DEBUG][2024-10-25 17:13:35] 已建立的索引文档 72
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 73
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 74
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 75
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 76
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 77
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 78
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 79
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 80
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 81
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 82
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 83
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 84
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 85
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 86
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 87
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 88
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 89
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 90
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 91
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 92
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 93
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 94
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 95
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 96
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 97
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 98
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 99
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 100
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 101
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 102
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 103
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 104
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 105
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 106
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 107
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 108
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 109
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 110
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 111
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 112
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 113
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 114
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 115
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 116
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 117
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 118
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 119
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 120
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 121
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 122
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 123
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 124
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 125
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 126
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 127
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 128
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 129
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 130
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 131
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 132
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 133
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 134
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 135
[DEBUG][2024-10-25 17:13:36] 已建立的索引文档 136
[DEBUG][2024-10-25 17:13:37] 已建立的索引文档 137
[DEBUG][2024-10-25 17:13:37] 已建立的索引文档 138
[DEBUG][2024-10-25 17:13:37] 已建立的索引文档 139
[DEBUG][2024-10-25 17:13:37] 已建立的索引文档 140
[DEBUG][2024-10-25 17:13:37] 已建立的索引文档 141
[DEBUG][2024-10-25 17:13:37] 已建立的索引文档 142
[DEBUG][2024-10-25 17:13:37] 已建立的索引文档 143
